"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"5","秋田県","5201","秋田市","52010189000","太平黒沢","39.745533","140.239193","0","1"
"5","秋田県","5201","秋田市","52010190000","太平寺庭","39.756177","140.220537","0","1"
"5","秋田県","5201","秋田市","52010191000","太平中関","39.727935","140.22462","0","1"
"5","秋田県","5201","秋田市","52010192000","太平八田","39.759922","140.194601","0","1"
"5","秋田県","5201","秋田市","52010193000","太平目長崎","39.740159","140.195366","0","1"
"5","秋田県","5201","秋田市","52010194000","太平山谷","39.746366","140.274737","0","1"
"5","秋田県","5201","秋田市","52010195000","土崎港御蔵町","39.746564","140.066006","0","1"
"5","秋田県","5201","秋田市","52010196001","土崎港北一丁目","39.75968","140.076874","0","3"
"5","秋田県","5201","秋田市","52010196002","土崎港北二丁目","39.760693","140.081609","0","3"
"5","秋田県","5201","秋田市","52010196003","土崎港北三丁目","39.766014","140.080484","0","3"
"5","秋田県","5201","秋田市","52010196004","土崎港北四丁目","39.762666","140.076986","0","3"
"5","秋田県","5201","秋田市","52010196005","土崎港北五丁目","39.762165","140.073035","0","3"
"5","秋田県","5201","秋田市","52010196006","土崎港北六丁目","39.76713","140.072357","0","3"
"5","秋田県","5201","秋田市","52010196007","土崎港北七丁目","39.769496","140.069729","0","3"
"5","秋田県","5201","秋田市","52010197000","土崎港穀保町","39.744705","140.066695","0","1"
"5","秋田県","5201","秋田市","52010198000","土崎港下浜町","39.751713","140.061735","0","1"
"5","秋田県","5201","秋田市","52010199000","土崎港相染町","39.765353","140.057928","0","1"
"5","秋田県","5201","秋田市","52010200001","土崎港中央一丁目","39.751732","140.06911","0","3"
"5","秋田県","5201","秋田市","52010200002","土崎港中央二丁目","39.749991","140.073121","0","3"
"5","秋田県","5201","秋田市","52010200003","土崎港中央三丁目","39.755868","140.069696","0","3"
"5","秋田県","5201","秋田市","52010200004","土崎港中央四丁目","39.753334","140.074088","0","3"
"5","秋田県","5201","秋田市","52010200005","土崎港中央五丁目","39.759049","140.070065","0","3"
"5","秋田県","5201","秋田市","52010200006","土崎港中央六丁目","39.758008","140.073316","0","3"
"5","秋田県","5201","秋田市","52010200007","土崎港中央七丁目","39.762767","140.069549","0","3"
"5","秋田県","5201","秋田市","52010201001","土崎港西一丁目","39.752253","140.061179","0","3"
"5","秋田県","5201","秋田市","52010201002","土崎港西二丁目","39.752052","140.065621","0","3"
"5","秋田県","5201","秋田市","52010201003","土崎港西三丁目","39.756072","140.065126","0","3"
"5","秋田県","5201","秋田市","52010201004","土崎港西四丁目","39.759084","140.065874","0","3"
"5","秋田県","5201","秋田市","52010201005","土崎港西五丁目","39.762914","140.067049","0","3"
"5","秋田県","5201","秋田市","52010202001","土崎港東一丁目","39.749246","140.078461","0","3"
"5","秋田県","5201","秋田市","52010202002","土崎港東二丁目","39.752227","140.07894","0","3"
"5","秋田県","5201","秋田市","52010202003","土崎港東三丁目","39.755171","140.078654","0","3"
"5","秋田県","5201","秋田市","52010202004","土崎港東四丁目","39.755327","140.082219","0","3"
"5","秋田県","5201","秋田市","52010203000","土崎港古川町","39.759749","140.06242","0","1"
"5","秋田県","5201","秋田市","52010204001","土崎港南一丁目","39.746339","140.069881","0","3"
"5","秋田県","5201","秋田市","52010204002","土崎港南二丁目","39.746323","140.073185","0","3"
"5","秋田県","5201","秋田市","52010204003","土崎港南三丁目","39.745051","140.076642","0","3"
"5","秋田県","5201","秋田市","52010205000","手形","39.729814","140.136017","0","1"
"5","秋田県","5201","秋田市","52010206000","手形学園町","39.727765","140.134054","0","1"
"5","秋田県","5201","秋田市","52010207000","手形からみでん","39.731282","140.127851","0","1"
"5","秋田県","5201","秋田市","52010208000","手形休下町","39.727137","140.128681","0","1"
"5","秋田県","5201","秋田市","52010209000","手形新栄町","39.723073","140.130183","0","1"
"5","秋田県","5201","秋田市","52010210000","手形住吉町","39.726811","140.131158","0","1"
"5","秋田県","5201","秋田市","52010211000","手形田中","39.731465","140.131163","0","1"
"5","秋田県","5201","秋田市","52010212000","手形山北町","39.734421","140.141757","0","1"
"5","秋田県","5201","秋田市","52010213000","手形山崎町","39.724698","140.132533","0","1"
"5","秋田県","5201","秋田市","52010214000","手形山中町","39.731126","140.143078","0","1"
"5","秋田県","5201","秋田市","52010215000","手形山西町","39.731576","140.138466","0","1"
"5","秋田県","5201","秋田市","52010216000","手形山東町","39.732879","140.144601","0","1"
"5","秋田県","5201","秋田市","52010217000","手形山南町","39.730382","140.140965","0","1"
"5","秋田県","5201","秋田市","52010218000","寺内","39.733602","140.074511","0","1"
"5","秋田県","5201","秋田市","52010219001","寺内油田一丁目","39.731633","140.091152","0","3"
"5","秋田県","5201","秋田市","52010219002","寺内油田二丁目","39.731046","140.088581","0","3"
